# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: 1 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26781 fm step
# l = 1 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
   2.00000   2   17.139840    1.512229e+00   -2.199424e-09
   2.00000   2   17.407650    1.488964e+00   -1.391943e-09
   2.00000   2   17.675460    1.466404e+00   -8.829529e-10
   2.00000   2   17.943270    1.444517e+00   -5.614005e-10
   2.00000   2   18.211080    1.423274e+00   -3.577981e-10
   2.00000   2   18.478890    1.402647e+00   -2.285806e-10
   2.00000   2   18.746700    1.382609e+00   -1.463788e-10
   2.00000   2   19.014510    1.363136e+00   -9.396164e-11
   2.00000   2   19.282320    1.344203e+00   -6.045719e-11
   2.00000   2   19.550130    1.325790e+00   -3.899034e-11
   2.00000   2   19.817940    1.307874e+00   -2.520345e-11
   2.00000   2   20.085750    1.290435e+00   -1.632807e-11
   2.00000   2   20.353560    1.273456e+00   -1.060122e-11
   2.00000   2   20.621370    1.256917e+00   -6.897544e-12
   2.00000   2   20.889180    1.240803e+00   -4.496953e-12
   3.00000   1    0.267810   -5.126542e+01   -3.795998e-01
   3.00000   1    0.535620   -5.110065e+01   -3.864625e-01
   3.00000   1    0.803430   -5.098044e+01   -3.973369e-01
   3.00000   1    1.071240   -5.083314e+01   -4.152282e-01
   3.00000   1    1.339050   -5.062384e+01   -4.447657e-01
   3.00000   1    1.606860   -5.031298e+01   -4.934259e-01
   3.00000   1    1.874670   -4.984521e+01   -5.732042e-01
   3.00000   1    2.142480   -4.914014e+01   -7.029772e-01
   3.00000   1    2.410290   -4.808328e+01   -9.114402e-01
   3.00000   1    2.678100   -4.652188e+01   -1.239620e+00
   3.00000   1    2.945910   -4.427765e+01   -1.739764e+00
   3.00000   1    3.213720   -4.119204e+01   -2.463292e+00
   3.00000   1    3.481530   -3.720517e+01   -3.426456e+00
   3.00000   1    3.749340   -3.243257e+01   -4.548784e+00
   3.00000   1    4.017150   -2.718132e+01   -5.596379e+00
   3.00000   1    4.284960   -2.187815e+01   -6.220155e+00
   3.00000   1    4.552770   -1.694342e+01   -6.149606e+00
   3.00000   1    4.820580   -1.267874e+01   -5.403283e+00
   3.00000   1    5.088390   -9.219060e+00   -4.274443e+00
   3.00000   1    5.356200   -6.552976e+00   -3.109504e+00
   3.00000   1    5.624010   -4.578644e+00   -2.127317e+00
   3.00000   1    5.891820   -3.159331e+00   -1.395255e+00
   3.00000   1    6.159630   -2.160663e+00   -8.901203e-01
   3.00000   1    6.427440   -1.468538e+00   -5.579448e-01
   3.00000   1    6.695250   -9.938788e-01   -3.459158e-01
   3.00000   1    6.963060   -6.706966e-01   -2.130278e-01
   3.00000   1    7.230870   -4.517250e-01   -1.306630e-01
   3.00000   1    7.498680   -3.038496e-01   -7.995460e-02
   3.00000   1    7.766490   -2.042070e-01   -4.886062e-02
   3.00000   1    8.034300   -1.371635e-01   -2.983866e-02
   3.00000   1    8.302110   -9.209761e-02   -1.821716e-02
   3.00000   1    8.569920   -6.182411e-02   -1.112184e-02
   3.00000   1    8.837730   -4.149589e-02   -6.791131e-03
   3.00000   1    9.105540   -2.784935e-02   -4.147919e-03
   3.00000   1    9.373350   -1.868979e-02   -2.534432e-03
   3.00000   1    9.641160   -1.254249e-02   -1.549263e-03
   3.00000   1    9.908970   -8.417049e-03   -9.475283e-04
   3.00000   1   10.176780   -5.648549e-03   -5.798401e-04
   3.00000   1   10.444590   -3.790682e-03   -3.550582e-04
   3.00000   1   10.712400   -2.543917e-03   -2.175668e-04
   3.00000   1   10.980210   -1.707238e-03   -1.334181e-04
   3.00000   1   11.248020   -1.145754e-03   -8.188333e-05
   3.00000   1   11.515830   -7.689436e-04   -5.029961e-05
   3.00000   1   11.783640   -5.160639e-04   -3.092817e-05
   3.00000   1   12.051450   -3.463522e-04   -1.903697e-05
   3.00000   1   12.319260   -2.324544e-04   -1.173088e-05
   3.00000   1   12.587070   -1.560136e-04   -7.237503e-06
   3.00000   1   12.854880   -1.047108e-04   -4.471058e-06
   3.00000   1   13.122690   -7.027887e-05   -2.765886e-06
   3.00000   1   13.390500   -4.716958e-05   -1.713564e-06
   3.00000   1   13.658310   -3.165940e-05   -1.063284e-06
   3.00000   1   13.926120   -2.124940e-05   -6.608781e-07
   3.00000   1   14.193930   -1.426244e-05   -4.114884e-07
   3.00000   1   14.461740   -9.572903e-06   -2.566835e-07
   3.00000   1   14.729550   -6.425339e-06   -1.604285e-07
   3.00000   1   14.997360   -4.312715e-06   -1.004722e-07
   3.00000   1   15.265170   -2.894728e-06   -6.305597e-08
   3.00000   1   15.532980   -1.942972e-06   -3.966027e-08
   3.00000   1   15.800790   -1.304149e-06   -2.500137e-08
   3.00000   1   16.068600   -8.753662e-07   -1.579708e-08
   3.00000   1   16.336410   -5.875621e-07   -1.000500e-08
   3.00000   1   16.604220   -3.943840e-07   -6.351874e-09
   3.00000   1   16.872030   -2.647196e-07   -4.042447e-09
   3.00000   1   17.139840   -1.776863e-07   -2.579004e-09
   3.00000   1   17.407650   -1.192678e-07   -1.649407e-09
   3.00000   1   17.675460   -8.005591e-08   -1.057472e-09
   3.00000   1   17.943270   -5.373591e-08   -6.796226e-10
   3.00000   1   18.211080   -3.606921e-08   -4.378358e-10
   3.00000   1   18.478890   -2.421082e-08   -2.827365e-10
   3.00000   1   18.746700   -1.625112e-08   -1.830027e-10
   3.00000   1   19.014510   -1.090831e-08   -1.187168e-10
   3.00000   1   19.282320   -7.322050e-09   -7.718195e-11
   3.00000   1   19.550130   -4.914828e-09   -5.028468e-11
   3.00000   1   19.817940   -3.299017e-09   -3.282739e-11
   3.00000   1   20.085750   -2.214427e-09   -2.147239e-11
   3.00000   1   20.353560   -1.486410e-09   -1.407112e-11
   3.00000   1   20.621370   -9.977376e-10   -9.237216e-12
   3.00000   1   20.889180   -6.697218e-10   -6.074033e-12
   3.00000   2    0.267810   -5.006400e+01   -3.057024e-01
   3.00000   2    0.535620   -4.991807e+01   -3.132184e-01
   3.00000   2    0.803430   -4.983299e+01   -3.252887e-01
   3.00000   2    1.071240   -4.973361e+01   -3.451145e-01
   3.00000   2    1.339050   -4.958054e+01   -3.777235e-01
   3.00000   2    1.606860   -4.932796e+01   -4.312272e-01
   3.00000   2    1.874670   -4.891173e+01   -5.185977e-01
   3.00000   2    2.142480   -4.823944e+01   -6.601722e-01
   3.00000   2    2.410290   -4.718100e+01   -8.867420e-01
   3.00000   2    2.678100   -4.556474e+01   -1.242137e+00
   3.00000   2    2.945910   -4.319235e+01   -1.781880e+00
   3.00000   2    3.213720   -3.988894e+01   -2.560176e+00
   3.00000   2    3.481530   -3.558975e+01   -3.593306e+00
   3.00000   2    3.749340   -3.042516e+01   -4.794590e+00
   3.00000   2    4.017150   -2.474039e+01   -5.915185e+00
   3.00000   2    4.284960   -1.901750e+01   -6.585438e+00
   3.00000   2    4.552770   -1.372337e+01   -6.519426e+00
   3.00000   2    4.820580   -9.158387e+00   -5.736175e+00
   3.00000   2    5.088390   -5.478883e+00   -4.544722e+00
   3.00000   2    5.356200   -2.678312e+00   -3.311403e+00
   3.00000   2    5.624010   -6.451869e-01   -2.268993e+00
   3.00000   2    5.891820    7.731610e-01   -1.490364e+00
   3.00000   2    6.159630    1.727624e+00   -9.520733e-01
   3.00000   2    6.427440    2.346541e+00   -5.975024e-01
   3.00000   2    6.695250    2.730044e+00   -3.708455e-01
   3.00000   2    6.963060    2.952159e+00   -2.286049e-01
   3.00000   2    7.230870    3.065709e+00   -1.403410e-01
   3.00000   2    7.498680    3.107499e+00   -8.594429e-02
   3.00000   2    7.766490    3.102745e+00   -5.255743e-02
   3.00000   2    8.034300    3.068506e+00   -3.211558e-02
   3.00000   2    8.302110    3.016206e+00   -1.961720e-02
